id,email,password_hash,role,subject_ref,is_active,last_login_at
129,mansi.adhvaryu@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:17,True,
130,yug.chavda@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:18,True,
131,ramesh.dave@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:19,True,
132,bhavna.thakkar@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:20,True,
133,ramesh.engineer@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:21,True,
134,jenil.kapadia@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:22,True,
135,priyansh.chavda@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:23,True,
136,jainil.adhvaryu@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:24,True,
137,jainil.kalariya@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:25,True,
138,ankit.gohil@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:26,True,
139,devarsh.rana@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:27,True,
140,twinkle.joshi@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,faculty,faculty:28,True,
141,tanvi.joshi@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,admin,admin:1,True,
142,sarthak.thakkar@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,admin,admin:2,True,
143,grishma.buch@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,admin,admin:3,True,
144,nayana.sojitra@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,admin,admin:4,True,
145,kavan.munshi@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,admin,admin:5,True,
146,zeel.vaghela@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,admin,admin:6,True,
147,anjali.patel@sot.pdpu.ac.in,pbkdf2_sha256$100000$756e696173736973742d6465762d7374617469632d73616c74$8f16f7d2ca6bbb8518559fa9154bdd057b4e49d8047726d2445944df46407714,admin,admin:7,True,
